iter	Passed	Remaining
398	94443	142257
399	94674	142012
400	94918	141785
401	95173	141576
402	95425	141361
403	95676	141145
404	95924	140925
405	96161	140689
406	96379	140424
407	96614	140185
408	96856	139956
409	97088	139713
410	97341	139499
411	97556	139231
412	97782	138979
413	98028	138755
414	98265	138519
415	98507	138289
416	98732	138036
417	98949	137771
418	99146	137480
419	99385	137246
420	99614	136998
421	99859	136773
422	100093	136534
423	100320	136284
424	100381	135810
425	100628	135589
426	100762	135215
427	101017	135004
428	101267	134786
429	101522	134576
430	101756	134337
431	102010	134125
432	102260	133906
433	102513	133693
434	102739	133443
435	102990	133226
436	103254	133025
437	103484	132781
438	103715	132538
439	103935	132281
440	104187	132065
441	104405	131805
442	104637	131565
443	104867	131321
444	105122	131107
445	105375	130892
446	105626	130674
447	105857	130431
448	106069	130165
449	106320	129947
450	106561	129716
451	106785	129465
452	106976	129174
453	107216	128943
454	107448	128702
455	107688	128470
456	107927	128237
457	108170	128009
458	108421	127791
459	108676	127576
460	108914	127342
461	109152	127108
462	109389	126872
463	109628	126639
464	109863	126401
465	110101	126167
466	110359	125956
467	110613	125739
468	110789	125434
469	111035	125210
470	111290	124995
471	111513	124744
472	111768	124528
473	111951	124233
474	112209	124021
475	112438	123776
476	112665	123530
477	112903	123296
478	113132	123052
479	113363	122810
480	113608	122584
481	113863	122367
482	114117	122151
483	114354	121915
484	114612	121702
485	114842	121458
486	115081	121225
487	115324	120996
488	115551	120749
489	115815	120543
490	116086	120341
491	116315	120098
492	116565	119876
493	116817	119655
494	117062	119427
495	117302	119194
496	117543	118962
497	117781	118727
498	117997	118470
499	118228	118228
500	118491	118018
501	118744	117798
502	118976	117557
503	119234	117342
504	119486	117120
505	119729	116890
506	119982	116669
507	120236	116449
508	120483	116223
509	120737	116002
510	120981	115773
511	121210	115529
512	121446	115291
513	121685	115056
514	121936	114833
515	122162	114586
516	122386	114338
517	122596	114076
518	122849	113854
519	123064	113597
520	123303	113363
521	123557	113142
522	123803	112914
523	124030	112669
524	124280	112444
525	124535	112223
526	124778	111992
527	124988	111732
528	125238	111507
529	125468	111264
530	125695	111018
531	125950	110798
532	126202	110574
533	126435	110335
534	126686	110110
535	126918	109869
536	127168	109644
537	127398	109401
538	127633	109163
539	127902	108953
540	128154	108730
541	128398	108498
542	128638	108264
543	128871	108024
544	129121	107798
545	129353	107557
546	129592	107322
547	129799	107060
548	130058	106841
549	130263	106578
550	130513	106352
551	130741	106109
552	130993	105884
553	131228	105646
554	131479	105420
555	131720	105186
556	131958	104950
557	132194	104713
558	132445	104487
559	132687	104254
560	132946	104034
561	133174	103790
562	133409	103552
563	133635	103307
564	133872	103070
565	134104	102829
566	134357	102604
567	134608	102378
568	134858	102150
569	135089	101909
570	135353	101692
571	135595	101459
572	135825	101216
573	136081	100994
574	136318	100757
575	136570	100531
576	136803	100290
577	137036	100050
578	137285	99822
579	137541	99599
580	137791	99370
581	138046	99146
582	138294	98917
583	138555	98696
584	138793	98460
585	139054	98239
586	139302	98009
587	139556	97784
588	139793	97546
589	140034	97312
590	140287	97085
591	140517	96843
592	140753	96604
593	141012	96382
594	141267	96156
595	141493	95912
596	141753	95689
597	141979	95444
598	142220	95209
599	142458	94972
600	142688	94729
601	142926	94492
602	143159	94252
603	143395	94013
604	143583	93744
605	143837	93518
606	144062	93272
607	144315	93045
608	144542	92801
609	144774	92560
610	145003	92317
611	145233	92075
612	145465	91835
613	145701	91597
614	145951	91368
615	146185	91128
616	146439	90901
617	146670	90660
618	146898	90417
619	147149	90188
620	147391	89953
621	147623	89713
622	147861	89476
623	148094	89236
624	148355	89013
625	148585	88771
626	148817	88530
627	149068	88301
628	149298	88060
629	149534	87821
630	149783	87591
631	149980	87330
632	150227	87098
633	150459	86858
634	150692	86618
635	150950	86392
636	151185	86154
637	151418	85914
638	151658	85678
639	151902	85445
640	152138	85207
641	152376	84970
642	152609	84730
643	152863	84502
644	153043	84233
645	153280	83996
646	153525	83762
647	153736	83510
648	153980	83277
649	154234	83049
650	154524	82840
651	154764	82604
652	154990	82360
653	155239	82129
654	155471	81889
655	155701	81648
656	155944	81414
657	156187	81179
658	156422	80941
659	156668	80708
660	156899	80467
661	157153	80238
662	157393	80002
663	157631	79765
664	157838	79512
665	158069	79271
666	158301	79032
667	158536	78793
668	158767	78553
669	159008	78317
670	159264	78089
671	159497	77849
672	159750	77620
673	160006	77392
674	160253	77159
675	160510	76930
676	160761	76699
677	161019	76472
678	161253	76233
679	161485	75993
680	161715	75752
681	161934	75506
682	162171	75268
683	162420	75036
684	162675	74806
685	162936	74580
686	163180	74345
687	163410	74104
688	163650	73868
689	163879	73627
690	164141	73400
691	164373	73160
692	164630	72931
693	164862	72691
694	165070	72440
695	165307	72203
696	165550	71967
697	165778	71726
698	165992	71478
699	166232	71242
700	166458	71000
701	166714	70770
702	166968	70540
703	167217	70307
704	167466	70074
705	167714	69841
706	167969	69611
707	168189	69366
708	168439	69134
709	168674	68895
710	168905	68654
711	169161	68424
712	169398	68187
713	169613	67940
714	169861	67707
715	170093	67467
716	170347	67236
717	170577	66995
718	170836	66766
719	171065	66525
720	171319	66294
721	171559	66057
722	171795	65819
723	172045	65586
724	172282	65348
725	172526	65113
726	172774	64879
727	173020	64644
728	173244	64402
729	173470	64160
730	173734	63932
731	173972	63694
732	174198	63452
733	174425	63211
734	174666	62975
735	174912	62740
736	175165	62508
737	175393	62267
738	175627	62028
739	175892	61799
740	176139	61565
741	176352	61319
742	176602	61085
743	176851	60852
744	177097	60617
745	177347	60383
746	177599	60150
747	177846	59916
748	178104	59685
749	178326	59442
750	178576	59208
751	178808	58968
752	179031	58726
753	179278	58491
754	179500	58248
755	179731	58008
756	179965	57769
757	180195	57529
758	180437	57293
759	180674	57055
760	180922	56820
761	181179	56588
762	181430	56355
763	181687	56123
764	181926	55886
765	182178	55652
766	182411	55413
767	182661	55179
768	182908	54943
769	183175	54714
770	183426	54480
771	183677	54246
772	183927	54012
773	184167	53774
774	184399	53535
775	184642	53298
776	184885	53062
777	185124	52824
778	185385	52593
779	185601	52349
780	185833	52109
781	186100	51879
782	186357	51646
783	186596	51409
784	186828	51169
785	187073	50933
786	187325	50699
787	187551	50458
788	187756	50211
789	188010	49977
790	188270	49745
791	188502	49505
792	188754	49271
793	188984	49031
794	189223	48793
795	189458	48554
796	189713	48321
797	189976	48089
798	190218	47852
799	190449	47612
800	190682	47372
801	190914	47133
802	191162	46897
803	191413	46662
804	191639	46421
805	191896	46188
806	192152	45954
807	192403	45719
808	192649	45483
809	192882	45244
810	193115	45004
811	193384	44773
812	193629	44537
813	193844	44293
814	194090	44057
815	194320	43817
816	194552	43577
817	194782	43337
818	195008	43097
819	195244	42858
820	195481	42620
821	195711	42380
822	195960	42144
823	196192	41905
824	196456	41672
825	196693	41434
826	196910	41191
827	197140	40951
828	197400	40718
829	197651	40482
830	197904	40247
831	198131	40007
832	198370	39769
833	198616	39532
834	198849	39293
835	199103	39058
836	199347	38821
837	199597	38585
838	199849	38350
839	200078	38110
840	200315	37871
841	200547	37632
842	200772	37391
843	201000	37151
844	201250	36915
845	201555	36689
846	201804	36453
847	202043	36215
848	202291	35978
849	202553	35744
850	202775	35503
851	203002	35263
852	203245	35025
853	203495	34789
854	203740	34552
855	203985	34315
856	204226	34077
857	204476	33841
858	204724	33604
859	204972	33367
860	205201	33127
861	205455	32892
862	205712	32656
863	205941	32416
864	206189	32179
865	206443	31943
866	206703	31708
867	206949	31471
868	207207	31236
869	207463	31000
870	207723	30765
871	207961	30526
872	208198	30287
873	208431	30048
874	208667	29809
875	208907	29571
876	209142	29332
877	209351	29089
878	209578	28849
879	209838	28614
880	210076	28375
881	210290	28134
882	210536	27896
883	210769	27657
884	211022	27420
885	211252	27181
886	211486	26942
887	211721	26703
888	211960	26465
889	212184	26224
890	212413	25985
891	212641	25745
892	212892	25508
893	213107	25267
894	213353	25030
895	213584	24791
896	213810	24551
897	214040	24311
