iter	MAPE
0	0.0613753188
1	0.05442262056
2	0.0484490612
3	0.04357214086
4	0.03961463282
5	0.03647686908
6	0.03392187182
7	0.03177102979
8	0.03009369239
9	0.02872961499
10	0.02767074911
11	0.02678311954
12	0.02613069631
13	0.02558351907
14	0.0251573509
15	0.02480868516
16	0.02448466355
17	0.02425818118
18	0.024076434
19	0.02389081438
20	0.02374078024
21	0.02362080413
22	0.02352529927
23	0.02344849974
24	0.02338858822
25	0.02330083719
26	0.02325480486
27	0.02318701868
28	0.02314282836
29	0.02310689314
30	0.02306351604
31	0.02301914658
32	0.02296747226
33	0.02291366403
34	0.02288940821
35	0.02285172346
36	0.02281957883
37	0.02278155556
38	0.02274168233
39	0.02272133691
40	0.02269618981
41	0.02267636247
42	0.02265094909
43	0.02264809135
44	0.02262336411
45	0.02259873243
46	0.02258710098
47	0.02255887539
48	0.02253280556
49	0.02251355448
50	0.02249569835
51	0.02247304817
52	0.02245777343
53	0.02242998144
54	0.02240942973
55	0.02238488042
56	0.0223633618
57	0.02233449856
58	0.02231389375
59	0.02230611712
60	0.02228778884
61	0.02227266272
62	0.02225299222
63	0.02223970328
64	0.02221300742
65	0.02217882344
66	0.02215345555
67	0.02213803001
68	0.02212437574
69	0.02210952471
70	0.02210445899
71	0.02208927423
72	0.02207521682
73	0.02206547982
74	0.02204800024
75	0.02203243321
76	0.02200758883
77	0.02198302867
78	0.02196179318
79	0.02194767397
80	0.02192906022
81	0.02191913429
82	0.02190449174
83	0.02188579445
84	0.02186907432
85	0.02185524034
86	0.02184208766
87	0.02182676382
88	0.02181314795
89	0.02179552696
90	0.02178405994
91	0.02175637792
92	0.0217324528
93	0.0217106531
94	0.02168577993
95	0.0216739929
96	0.02166034348
97	0.02164588657
98	0.02161613803
99	0.02158953524
100	0.02156824982
101	0.02154794739
102	0.02152873112
103	0.02151465313
104	0.02150260722
105	0.02148459292
106	0.02147130781
107	0.02145538685
108	0.02143396203
109	0.02142016661
110	0.02139217626
111	0.0213798105
112	0.02135944068
113	0.02134628111
